idArea,nombre_area,descripcion,id_subarea
450,Entornos Virtuales de Aprendizaje ,'',
451,Planificacion Autom�tica,"La planificacion autom�tica es una disciplina de la inteligencia artificial que tiene por objeto la produccion de planes (es decir, una planificacion), t�picamente para la ejecucion de un robot u otro agente.",
452,Dinamica de Sistemas,'',
453,Aplicaciones m�viles,'',
454,aplicacion m�vil (app),'',
455,"Programacion M�vil, GPS",'',
456,Television Digital Interactiva,'',
457,Procesamiento del lenguaje natural,'',
458,Aprendizaje de m�quina,'',
459,Ingenieria Economica,"Area de la matematica financiera muy usado en la toma de decisiones, el manejo de amortizaciones de deudas y manejo de las tasas de interes muy usado en la vida cotidiana. ",
460,Aplicaciones Hibridas,'',
461,Teoria de Grafos,Teoria de Grafos,
462,Redes aleatorias,Redes aleatorias,
463,Disenio de Interfaces - Desarrollo de Sistemas Orientados a Objetos,'',
464,Gestion Administrativa,Gestion de los procesos administrativos,
465,Aplicacion de Sistemas Operativos,'',
466,Servicios Telematicos,'',
467,Realidad Mixta,'',
468,Graficacion por Computadora,'',
469,Servicios Web REST,"La Transferencia de Estado Representacional (REST - Representational State Transfer) fue ganando amplia adopcion en toda la web como una alternativa m�s simple a SOAP y a los servicios web basados en el Lenguage de Descripcion de Servicios Web (Web Services Descripcion Language - WSDL).REST define un set de principios arquitect�nicos por los cuales se diseian servicios web haciendo foco en los recursos del sistema, incluyendo c�mo se accede al estado de dichos recursos y c�mo se transfieren por HTTP hacia clientes escritos en diversos lenguajes.",
470,Almac�n de Eventos,"Del ingl�s -Event sourcing- involucra el modelado de cambio de estados hechos a una aplicacion como una secuencia inmutable o registro de eventos. 

En lugar modificar el estado de la aplicacion directamente, un almac�n de eventos almacena el evento que lanzo el cambio de estado en un registro inmutable y modela los cambios de estados como respuestas a los eventos en el registro.",
471,Modelacion y Optimizacion,'',
472,Sistema de Informacion,"Los sistemas de Informacion dan soporte a las operaciones empresariales, la gestion y la toma de decisiones, proporcionando a las personas la informacion que necesitan mediante el uso de las tecnologias de la informacion. ",
473,INTELIGENCIA DE NEGOCIOS,"SE ENTIENDE POR INTELIGENCIA DE NEGOCIOS (BUSINESS INTELLIGENCE) AL CONJUNTO DE METODOLOGIAS , APLICACIONES, PRACTICAS Y CAPACIDADES ENFOCADAS A LA CREACION Y ADMINISTRACION DE LA INFORMACION QUE PERMITE TOMAR MEJORES DECISIONES A LOS USUARIOS DE UN ORGANIZACION.
EN RESUMEN SE PUEDE UTILIZAR DATOS DE AYER Y HOY PARA TOMAR MEJORES DECISIONES MAiANA.",
474,Sistemas de Informacion,'',
475,Bots,'',
476,Cloud Computing,'',
477,Programacion movil,'',
478,Programacion m�vil,'',
479,Programacion Movil,'',
480,"Base de Datos,Aplicacion Web y Sistemas de informacion",'',
481,An�lisis de contenido de p�ginas web.,'',
482,Seguridad Informatica,"Es el �rea relacionada con la inform�tica y la telem�tica que se enfoca en la proteccion de la infraestructura computacional y todo lo relacionado con esta y, especialmente, la informacion contenida en una computadora o circulante a trav�s de las redes de computadoras.",
483,Recuperacion de la Informacion ,"Proceso donde se accede a una informacion previamente almacenada, mediante herramientas inform�ticas que permiten establecer ecuaciones de b�squeda espec�ficas. Dicha informacion ha debido de ser estructura previamente a su almacenamiento.",
484,Patrones de disenio,Los patrones de disenio de diagramas de clase son soluciones comprobadas a diferentes problemas bajo cierto contexto.,
485,Servicio Movil Nativa,"servicio del dispositivo movil nativa 
",
486,Data Warehouse y Mineria de Datos,'',
487,"Data Mining, Data Science",'',
488,Realidad virtual,'',
489,Realidad mixta,'',
490, sistema de informacion,"Un Sistema de Informacion es un conjunto de componentes que interactian entre s�, orientado a la recoleccion, almacenamiento, procesamiento y recuperacion de informacion.
Se estudian las caracter�sticas resultantes de esas interacciones y qu� mecanismos se pueden utilizar para el desarrollo y adaptacion de estos sistemas de forma que puedan se explotados en las organizaciones con el mayor retorno posible.",
491,Programacion M�vil,'',
492,An�lisis de video,"Describe un amplio n�mero de nuevas tecnologias y evoluciones en el campo de la vigilancia con v�deo y la seguridad.
Algunas aplicaciones del an�lisis de v�deo son la deteccion de objetos abandonados en lugares llenos de gente, controlar obras de arte en los museos y detectar veh�culos no autorizados que ingresen a determinadas �reas. La deteccion de matr�culas de veh�culos, congestion de tr�nsito,tecnologias mas de reconocimiento facial.",
493,Aplicacion web,'',
494,programacion Movil,programacion movil,
495,sistema gestion del conocimiento,'',
496,PROGRAMACIoN MOVIL,"desarrollo de aplicaciones para aparatos como celulares, smartphones, PDAs, PocketPCs y dispositivos con recursos limitados.",
497,Aprendizaje en profundidad,'',
498,Algoritmos,"Algoritmos pueden realizar calculos, procesamiento de datos y tareas de razonamiento automatizado.",
499,Optimizacion,"Es la seleccion del mejor elemento con respecto a algun criterio de un conjunto de elementos disponibles.
",
500,Aprendizaje automatico,"Aprendizaje supervisado
Apredizaje no supervisado
Aprendizaje por refuerzo",
501,Aplicacion WEB,Sistema de Informacion que esta en la Nube,
